idLocalidad,nombreLocalidad,latitudLocalidad,longitudLocalidad,idDepartamento,GeomLocalidad,GeomTLocalidad,geometry
1817,LA CRUZ,"-29,18285194","-56,64960889",166,0x00000000010C46653F6226534CC0664F7E62CF2E3DC0,POINT (-56.64960888 -29.18285194),POINT (-56.64960888 -29.18285194)
1818,PERUGORRIA,"-29,33285944","-58,61639139",184,0x00000000010C7351A9E9E54E4DC002F7B84636553DC0,POINT (-58.61639138 -29.33285944),POINT (-58.61639138 -29.33285944)
1819,MARIANO I. LOZA,"-29,38286556","-58,19970694",173,0x00000000010CC80A3CFF8F194DC0DB03087A03623DC0,POINT (-58.19970694 -29.38286555),POINT (-58.19970694 -29.38286555)
1820,GUAVIRAVI,"-29,38286222","-56,832945",166,0x00000000010CF12E17F19D6A4CC022C6294203623DC0,POINT (-56.832945 -29.38286222),POINT (-56.832945 -29.38286222)
1821,YAPEYU,"-29,46620722","-56,83295639",166,0x00000000010C1A8C8D509E6A4CC0200F3B5B59773DC0,POINT (-56.83295638 -29.46620722),POINT (-56.83295638 -29.46620722)
1822,PASO DE LOS LIBRES,"-29,71622","-57,11629972",185,0x00000000010C8CF7C2E8E28E4CC0BABDA4315AB73DC0,POINT (-57.11629972 -29.71622),POINT (-57.11629972 -29.71622)
1823,CURUZU CUATIA,"-29,81623306","-58,04969722",184,0x00000000010C124D7F7A5C064DC012AA2FA6F4D03DC0,POINT (-58.04969722 -29.81623305),POINT (-58.04969722 -29.81623305)
1824,ESQUINA,"-29,99958417","-59,51644472",191,0x00000000010CC34B4FDC1AC24DC0B5CC5CBFE4FF3DC0,POINT (-59.51644472 -29.99958416),POINT (-59.51644472 -29.99958416)
1825,SAUCE,"-30,06626222","-58,7664",198,0x00000000010CC3D32B6519624DC040DC938FF6103EC0,POINT (-58.7664 -30.06626222),POINT (-58.7664 -30.06626222)
1826,MONTE CASEROS,"-30,2829325","-57,63299306",202,0x00000000010C332C90EA05D14CC0BC79AA436E483EC0,POINT (-57.63299305 -30.2829325),POINT (-57.63299305 -30.2829325)
1827,MOCORETA,"-30,62129389","-57,9658",202,0x00000000010C083D9B559FFB4CC011CE9F1D0D9F3EC0,POINT (-57.9658 -30.62129388),POINT (-57.9658 -30.62129388)
1828,LAVALLE,"-28,9995025","-59,16642417",178,0x00000000010C6D3B0A634D954DC02EC55565DFFF3CC0,POINT (-59.16642416 -28.9995025),POINT (-59.16642416 -28.9995025)
1829,PUERTO IGUAZU,"-25,59921806","-54,58282861",57,0x00000000010CC38FBD209A4A4BC043ECA75A669939C0,POINT (-54.58282861 -25.59921805),POINT (-54.58282861 -25.59921805)
1830,ALMIRANTE BROWN,"-25,67033833","-54,04446361",56,0x00000000010CF367CBFBB0054BC0F29AF44A9BAB39C0,POINT (-54.04446361 -25.67033833),POINT (-54.04446361 -25.67033833)
1831,LIBERTAD,"-25,91591722","-54,58282222",57,0x00000000010C1C2423EB994A4BC045BE098D79EA39C0,POINT (-54.58282222 -25.91591722),POINT (-54.58282222 -25.91591722)
1832,WANDA,"-25,96592083","-54,56614861",57,0x00000000010C1C50C28E77484BC00C60679646F739C0,POINT (-54.56614861 -25.96592083),POINT (-54.56614861 -25.96592083)
1833,ESPERANZA,"-26,01591944","-54,64949278",57,0x00000000010CB9113F9422534BC0AF2BE24B13043AC0,POINT (-54.64949277 -26.01591944),POINT (-54.64949277 -26.01591944)
1834,SAN ANTONIO,"-26,13259722","-53,74943056",56,0x00000000010CC86F1B57EDDF4AC0C67033E4F1213AC0,POINT (-53.74943055 -26.13259722),POINT (-53.74943055 -26.13259722)
1835,MARIA MAGDALENA,"-26,23788694","-54,58448333",70,0x00000000010C1EB48959D04A4BC00D729328E63C3AC0,POINT (-54.58448333 -26.23788694),POINT (-54.58448333 -26.23788694)
1836,BERNARDO DE IRIGOYEN,"-26,28260444","-53,64942278",56,0x00000000010CC0360B4920D34AC02081BBC358483AC0,POINT (-53.64942277 -26.28260444),POINT (-53.64942277 -26.28260444)
1837,DOS HERMANAS,"-26,29205806","-53,74192778",56,0x00000000010C75123A7DF7DE4AC09648FD50C44A3AC0,POINT (-53.74192777 -26.29205805),POINT (-53.74192777 -26.29205805)
1838,COLONIA VICTORIA,"-26,35511972","-54,62448556",70,0x00000000010C8C097B24EF4F4BC08F903F20E95A3AC0,POINT (-54.62448555 -26.35511972),POINT (-54.62448555 -26.35511972)
1839,ELDORADO,"-26,41595528","-54,61615056",70,0x00000000010CCAD46E05DE4E4BC0B53F690B7C6A3AC0,POINT (-54.61615055 -26.41595527),POINT (-54.61615055 -26.41595527)
1840,9 DE JULIO KILOMETRO 20,"-26,4226125","-54,48949167",70,0x00000000010CB0AEA7A9A73E4BC07C613255306C3AC0,POINT (-54.48949166 -26.4226125),POINT (-54.48949166 -26.4226125)
